GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
P2EXE2,exe,VulnerableClass,113,18,11,1,35,5,6,2,0,2
P2EXE2,exe,VulnerableClassTest,11,41,0,0,2,13,0,3,0,3
